match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,mach_id
Australia Vs Ireland,Ireland,7,Greth Delny,14,10,2,0,140.00,out,T20I # 1855
Australia Vs Ireland,Ireland,8,Mrk Adir,11,11,1,0,100.00,out,T20I # 1855
Australia Vs Ireland,Ireland,9,Fionn Hnd,6,6,1,0,100.00,out,T20I # 1855
Australia Vs Ireland,Ireland,10,Brry McCrthy,3,7,0,0,42.85,out,T20I # 1855
Australia Vs Ireland,Ireland,11,Josh Little,1,5,0,0,20.00,out,T20I # 1855
Afghanistan Vs Sri Lanka,Afghanistan,1,Rhmnullh Gurbz,28,24,2,2,116.66,out,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,2,Usmn Ghni,27,27,2,1,100.00,out,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,3,Ibrhim Zdrn,22,18,1,1,122.22,out,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,4,Njibullh Zdrn,18,16,1,0,112.50,out,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,5,Gulbdin Nib,12,14,0,0,85.71,out,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,6,Mohmmd Nbi(c),13,8,1,0,162.50,out,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,7,Rshid Khn,9,8,1,0,112.50,out,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,8,Azmtullh Omrzi,3,4,0,0,75.00,not_out,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,9,Mujeeb Ur Rhmn,1,2,0,0,50.00,out,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,1,Pthum Nissnk,10,10,2,0,100.00,out,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,2,Kusl Mendis,25,27,2,1,92.59,out,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,3,Dhnnjy de Silv,66,42,6,2,157.14,not_out,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,4,Chrith Aslnk,19,18,1,0,105.55,out,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,5,Bhnuk Rjpks,18,14,3,0,128.57,out,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,6,Dsun Shnk(c),0,0,0,0,-,not_out,T20I # 1856
England Vs New Zealand,England,1,Jos Buttler(c),73,47,7,2,155.31,out,T20I # 1858
England Vs New Zealand,England,2,Alex Hles,52,40,7,1,130.00,out,T20I # 1858
England Vs New Zealand,England,3,Moeen Ali,5,6,0,0,83.33,out,T20I # 1858
England Vs New Zealand,England,4,Lim Livingstone,20,14,1,1,142.85,out,T20I # 1858
England Vs New Zealand,England,5,Hrry Brook,7,3,0,1,233.33,out,T20I # 1858
England Vs New Zealand,England,6,Ben Stokes,8,7,0,0,114.28,out,T20I # 1858
England Vs New Zealand,England,7,Sm Currn,6,3,0,1,200.00,not_out,T20I # 1858
England Vs New Zealand,England,8,Dwid Mln,3,1,0,0,300.00,not_out,T20I # 1858
England Vs New Zealand,New Zealand,1,Finn Allen,16,11,0,1,145.45,out,T20I # 1858
England Vs New Zealand,New Zealand,2,Devon Conwy,3,9,0,0,33.33,out,T20I # 1858
England Vs New Zealand,New Zealand,3,Kne Willimson(c),40,40,3,0,100.00,out,T20I # 1858
England Vs New Zealand,New Zealand,4,Glenn Phillips,62,36,4,3,172.22,out,T20I # 1858
England Vs New Zealand,New Zealand,5,Jmes Neeshm,6,3,1,0,200.00,out,T20I # 1858
England Vs New Zealand,New Zealand,6,Dryl Mitchell,3,5,0,0,60.00,out,T20I # 1858
England Vs New Zealand,New Zealand,7,Mitchell Sntner,16,10,0,1,160.00,not_out,T20I # 1858
England Vs New Zealand,New Zealand,8,Ish Sodhi,6,6,0,0,100.00,not_out,T20I # 1858
Zimbabwe Vs Netherlands,Zimbabwe,1,Wessly Mdhevere,1,5,0,0,20.00,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,2,Crig Ervine(c),3,12,0,0,25.00,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,3,Regis Chkbv,5,16,1,0,31.25,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,4,Sen Willims,28,23,3,0,121.73,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,5,Sikndr Rz,40,24,3,3,166.66,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,6,Milton Shumb,2,3,0,0,66.66,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,7,Ryn Burl,2,7,0,0,28.57,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,8,Luke Jongwe,6,8,0,0,75.00,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,9,Richrd Ngrv,9,7,0,1,128.57,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,10,Tendi Chtr,6,7,0,0,85.71,not_out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,11,Blessing Muzrbni,1,4,0,0,25.00,out,T20I # 1859
Zimbabwe Vs Netherlands,Netherlands,1,Stephn Myburgh,8,7,0,1,114.28,out,T20I # 1859
Zimbabwe Vs Netherlands,Netherlands,2,Mx O'Dowd,52,47,8,1,110.63,out,T20I # 1859
Zimbabwe Vs Netherlands,Netherlands,3,Tom Cooper,32,29,2,1,110.34,out,T20I # 1859
Zimbabwe Vs Netherlands,Netherlands,4,Colin Ackermnn,1,5,0,0,20.00,out,T20I # 1859
Zimbabwe Vs Netherlands,Netherlands,5,Bs de Leede,12,12,2,0,100.00,not_out,T20I # 1859
Zimbabwe Vs Netherlands,Netherlands,6,Scott Edwrds(c),5,6,1,0,83.33,out,T20I # 1859
Zimbabwe Vs Netherlands,Netherlands,7,Roelof vn der Merwe,0,3,0,0,0.00,not_out,T20I # 1859
India Vs Bangladesh,India,1,KL Rhul,50,32,3,4,156.25,out,T20I # 1860
India Vs Bangladesh,India,2,Rohit Shrm(c),2,8,0,0,25.00,out,T20I # 1860
India Vs Bangladesh,India,3,Virt Kohli,64,44,8,1,145.45,not_out,T20I # 1860
India Vs Bangladesh,India,4,Surykumr Ydv,30,16,4,0,187.50,out,T20I # 1860
India Vs Bangladesh,India,5,Hrdik Pndy,5,6,0,0,83.33,out,T20I # 1860
India Vs Bangladesh,India,6,Dinesh Krthik,7,5,1,0,140.00,out,T20I # 1860
India Vs Bangladesh,India,7,Axr Ptel,7,6,1,0,116.66,out,T20I # 1860
India Vs Bangladesh,India,8,Rvichndrn Ashwin,13,6,1,1,216.66,not_out,T20I # 1860
India Vs Bangladesh,Bangladesh,1,Njmul Hossin Shnto,21,25,1,1,84.00,out,T20I # 1860
India Vs Bangladesh,Bangladesh,2,Litton Ds,60,27,7,3,222.22,out,T20I # 1860
India Vs Bangladesh,Bangladesh,3,Shkib Al Hsn(c),13,12,2,0,108.33,out,T20I # 1860
India Vs Bangladesh,Bangladesh,4,Afif Hossin,3,5,0,0,60.00,out,T20I # 1860
India Vs Bangladesh,Bangladesh,5,Ysir Ali,1,3,0,0,33.33,out,T20I # 1860
India Vs Bangladesh,Bangladesh,6,Nurul Hsn,25,14,2,1,178.57,not_out,T20I # 1860
India Vs Bangladesh,Bangladesh,7,Mosddek Hossin,6,3,0,1,200.00,out,T20I # 1860
India Vs Bangladesh,Bangladesh,8,Tskin Ahmed,12,7,1,1,171.42,not_out,T20I # 1860
Pakistan Vs South Africa,Pakistan,1,Mohmmd Rizwn,4,4,1,0,100.00,out,T20I # 1861
Pakistan Vs South Africa,Pakistan,2,Bbr Azm(c),6,15,0,0,40.00,out,T20I # 1861
Pakistan Vs South Africa,Pakistan,3,Mohmmd Hris,28,11,2,3,254.54,out,T20I # 1861
Pakistan Vs South Africa,Pakistan,4,Shn Msood,2,6,0,0,33.33,out,T20I # 1861
Pakistan Vs South Africa,Pakistan,5,Iftikhr Ahmed,51,35,3,2,145.71,out,T20I # 1861
Pakistan Vs South Africa,Pakistan,6,Mohmmd Nwz,28,22,4,1,127.27,out,T20I # 1861
Pakistan Vs South Africa,Pakistan,7,Shdb Khn,52,22,3,4,236.36,out,T20I # 1861
Pakistan Vs South Africa,Pakistan,8,Mohmmd Wsim,0,1,0,0,0.00,out,T20I # 1861
Pakistan Vs South Africa,Pakistan,9,Nseem Shh,5,3,0,0,166.66,not_out,T20I # 1861
Pakistan Vs South Africa,Pakistan,10,Hris Ruf,3,2,0,0,150.00,out,T20I # 1861
Pakistan Vs South Africa,South Africa,1,Temb Bvum(c),36,19,4,1,189.47,out,T20I # 1861
Pakistan Vs South Africa,South Africa,2,Quinton de Kock,0,5,0,0,0.00,out,T20I # 1861
Pakistan Vs South Africa,South Africa,3,Rilee Rossouw,7,6,0,1,116.66,out,T20I # 1861
Pakistan Vs South Africa,South Africa,4,Aiden Mrkrm,20,14,4,0,142.85,out,T20I # 1861
Pakistan Vs South Africa,South Africa,5,Heinrich Klsen,15,9,3,0,166.66,out,T20I # 1861
Pakistan Vs South Africa,South Africa,6,Tristn Stubbs,18,18,0,1,100.00,out,T20I # 1861
Pakistan Vs South Africa,South Africa,7,Wyne Prnell,3,4,0,0,75.00,out,T20I # 1861
Pakistan Vs South Africa,South Africa,8,Kgiso Rbd,1,2,0,0,50.00,out,T20I # 1861
Pakistan Vs South Africa,South Africa,9,Anrich Nortje,1,5,0,0,20.00,out,T20I # 1861
Pakistan Vs South Africa,South Africa,10,Lungi Ngidi,4,1,1,0,400.00,not_out,T20I # 1861
Pakistan Vs South Africa,South Africa,11,Tbriz Shmsi,1,1,0,0,100.00,not_out,T20I # 1861
New Zealand Vs Ireland,New Zealand,1,Finn Allen,32,18,5,1,177.77,out,T20I # 1862
New Zealand Vs Ireland,New Zealand,2,Devon Conwy,28,33,2,0,84.84,out,T20I # 1862
New Zealand Vs Ireland,New Zealand,3,Kne Willimson(c),61,35,5,3,174.28,out,T20I # 1862
New Zealand Vs Ireland,New Zealand,4,Glenn Phillips,17,9,2,1,188.88,out,T20I # 1862
New Zealand Vs Ireland,New Zealand,5,Dryl Mitchell,31,21,2,0,147.61,not_out,T20I # 1862
New Zealand Vs Ireland,New Zealand,6,Jmes Neeshm,0,1,0,0,0.00,out,T20I # 1862
New Zealand Vs Ireland,New Zealand,7,Mitchell Sntner,0,1,0,0,0.00,out,T20I # 1862
New Zealand Vs Ireland,New Zealand,8,Tim Southee,1,2,0,0,50.00,not_out,T20I # 1862
New Zealand Vs Ireland,Ireland,1,Pul Stirling,37,27,3,1,137.03,out,T20I # 1862
New Zealand Vs Ireland,Ireland,2,Andy Blbirnie(c),30,25,0,3,120.00,out,T20I # 1862
New Zealand Vs Ireland,Ireland,3,Lorcn Tucker,13,14,0,0,92.85,out,T20I # 1862
New Zealand Vs Ireland,Ireland,4,Hrry Tector,2,7,0,0,28.57,out,T20I # 1862
New Zealand Vs Ireland,Ireland,5,Greth Delny,10,8,2,0,125.00,out,T20I # 1862
New Zealand Vs Ireland,Ireland,6,George Dockrell,23,15,3,0,153.33,out,T20I # 1862
New Zealand Vs Ireland,Ireland,7,Curtis Cmpher,7,7,1,0,100.00,out,T20I # 1862
New Zealand Vs Ireland,Ireland,8,Fionn Hnd,5,3,1,0,166.66,out,T20I # 1862
New Zealand Vs Ireland,Ireland,9,Mrk Adir,4,5,0,0,80.00,out,T20I # 1862
New Zealand Vs Ireland,Ireland,10,Brry McCrthy,6,5,0,0,120.00,not_out,T20I # 1862
New Zealand Vs Ireland,Ireland,11,Josh Little,8,4,0,1,200.00,not_out,T20I # 1862
Australia Vs Afghanistan,Australia,1,Dvid Wrner,25,18,5,0,138.88,out,T20I # 1864
Australia Vs Afghanistan,Australia,2,Cmeron Green,3,2,0,0,150.00,out,T20I # 1864
Australia Vs Afghanistan,Australia,3,Mitchell Mrsh,45,30,3,2,150.00,out,T20I # 1864
Australia Vs Afghanistan,Australia,4,Steven Smith,4,4,1,0,100.00,out,T20I # 1864
Australia Vs Afghanistan,Australia,5,Mrcus Stoinis,25,21,0,2,119.04,out,T20I # 1864
Australia Vs Afghanistan,Australia,6,Glenn Mxwell,54,32,6,2,168.75,not_out,T20I # 1864
Australia Vs Afghanistan,Australia,7,Mtthew Wde(c),6,8,1,0,75.00,out,T20I # 1864
Australia Vs Afghanistan,Australia,8,Pt Cummins,0,2,0,0,0.00,out,T20I # 1864
Australia Vs Afghanistan,Australia,9,Kne Richrdson,1,1,0,0,100.00,out,T20I # 1864
Australia Vs Afghanistan,Australia,10,Adm Zmp,1,1,0,0,100.00,not_out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,1,Rhmnullh Gurbz,30,17,2,2,176.47,out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,2,Usmn Ghni,2,7,0,0,28.57,out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,3,Ibrhim Zdrn,26,33,2,0,78.78,out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,4,Gulbdin Nib,39,23,3,2,169.56,out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,5,Mohmmd Nbi(c),1,2,0,0,50.00,out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,6,Njibullh Zdrn,0,2,0,0,0.00,out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,7,Drwish Rsooli,15,13,1,0,115.38,out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,8,Rshid Khn,48,23,3,4,208.69,not_out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,9,Nveen-ul-Hq,0,0,0,0,-,not_out,T20I # 1864
Sri Lanka Vs England,Sri Lanka,1,Pthum Nissnk,67,45,2,5,148.88,out,T20I # 1867
Sri Lanka Vs England,Sri Lanka,2,Kusl Mendis,18,14,1,1,128.57,out,T20I # 1867
Sri Lanka Vs England,Sri Lanka,3,Dhnnjy de Silv,9,11,0,0,81.81,out,T20I # 1867
Sri Lanka Vs England,Sri Lanka,4,Chrith Aslnk,8,9,0,0,88.88,out,T20I # 1867
Sri Lanka Vs England,Sri Lanka,5,Bhnuk Rjpks,22,22,3,0,100.00,out,T20I # 1867
Sri Lanka Vs England,Sri Lanka,6,Dsun Shnk(c),3,8,0,0,37.50,out,T20I # 1867
Sri Lanka Vs England,Sri Lanka,7,Wnindu Hsrng de Silv,9,9,1,0,100.00,out,T20I # 1867
Sri Lanka Vs England,Sri Lanka,8,Chmik Krunrtne,0,2,0,0,0.00,out,T20I # 1867
Sri Lanka Vs England,Sri Lanka,9,Mheesh Theekshn,0,0,0,0,-,not_out,T20I # 1867
Sri Lanka Vs England,England,1,Jos Buttler(c),28,23,2,1,121.73,out,T20I # 1867
Sri Lanka Vs England,England,2,Alex Hles,47,30,7,1,156.66,out,T20I # 1867
Sri Lanka Vs England,England,3,Ben Stokes,42,36,2,0,116.66,not_out,T20I # 1867
Sri Lanka Vs England,England,4,Hrry Brook,4,5,0,0,80.00,out,T20I # 1867
Sri Lanka Vs England,England,5,Lim Livingstone,4,6,0,0,66.66,out,T20I # 1867
Sri Lanka Vs England,England,6,Moeen Ali,1,5,0,0,20.00,out,T20I # 1867
Sri Lanka Vs England,England,7,Sm Currn,6,11,0,0,54.54,out,T20I # 1867
Sri Lanka Vs England,England,8,Chris Wokes,5,3,1,0,166.66,not_out,T20I # 1867
Netherlands Vs South Africa,Netherlands,1,Stephn Myburgh,37,30,7,0,123.33,out,T20I # 1871
Netherlands Vs South Africa,Netherlands,2,Mx O'Dowd,29,31,1,1,93.54,out,T20I # 1871
Netherlands Vs South Africa,Netherlands,3,Tom Cooper,35,19,2,2,184.21,out,T20I # 1871
Netherlands Vs South Africa,Netherlands,4,Colin Ackermnn,41,26,3,2,157.69,not_out,T20I # 1871
Netherlands Vs South Africa,Netherlands,5,Bs de Leede,1,7,0,0,14.28,out,T20I # 1871
Netherlands Vs South Africa,Netherlands,6,Scott Edwrds(c),12,7,2,0,171.42,not_out,T20I # 1871
Netherlands Vs South Africa,South Africa,1,Quinton de Kock,13,13,1,1,100.00,out,T20I # 1871
Netherlands Vs South Africa,South Africa,2,Temb Bvum(c),20,20,2,0,100.00,out,T20I # 1871
Netherlands Vs South Africa,South Africa,3,Rilee Rossouw,25,19,2,0,131.57,out,T20I # 1871
Netherlands Vs South Africa,South Africa,4,Aiden Mrkrm,17,13,2,0,130.76,out,T20I # 1871
Netherlands Vs South Africa,South Africa,5,Dvid Miller,17,17,1,0,100.00,out,T20I # 1871
Netherlands Vs South Africa,South Africa,6,Heinrich Klsen,21,18,0,1,116.66,out,T20I # 1871
Netherlands Vs South Africa,South Africa,7,Wyne Prnell,0,2,0,0,0.00,out,T20I # 1871
Netherlands Vs South Africa,South Africa,8,Keshv Mhrj,13,12,0,1,108.33,out,T20I # 1871
Netherlands Vs South Africa,South Africa,9,Kgiso Rbd,9,8,0,0,112.50,not_out,T20I # 1871
Netherlands Vs South Africa,South Africa,10,Anrich Nortje,4,1,1,0,400.00,not_out,T20I # 1871
Bangladesh Vs Pakistan,Bangladesh,1,Njmul Hossin Shnto,54,48,7,0,112.50,out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,2,Litton Ds,10,8,0,1,125.00,out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,3,Soumy Srkr,20,17,1,1,117.64,out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,4,Shkib Al Hsn(c),0,1,0,0,0.00,out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,5,Afif Hossin,24,20,3,0,120.00,not_out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,6,Mosddek Hossin,5,11,0,0,45.45,out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,7,Nurul Hsn,0,3,0,0,0.00,out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,8,Tskin Ahmed,1,5,0,0,20.00,out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,9,Nsum Ahmed,7,6,1,0,116.66,out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,10,Mustfizur Rhmn,0,1,0,0,0.00,not_out,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,1,Mohmmd Rizwn,32,32,2,1,100.00,out,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,2,Bbr Azm(c),25,33,2,0,75.75,out,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,3,Mohmmd Nwz,4,11,0,0,36.36,out,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,4,Mohmmd Hris,31,18,1,2,172.22,out,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,5,Shn Msood,24,14,2,0,171.42,not_out,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,6,Iftikhr Ahmed,1,3,0,0,33.33,out,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,7,Shdb Khn,0,0,0,0,-,not_out,T20I # 1872
India Vs Zimbabwe,India,1,KL Rhul,51,35,3,3,145.71,out,T20I # 1873
India Vs Zimbabwe,India,2,Rohit Shrm(c),15,13,2,0,115.38,out,T20I # 1873
India Vs Zimbabwe,India,3,Virt Kohli,26,25,2,0,104.00,out,T20I # 1873
India Vs Zimbabwe,India,4,Surykumr Ydv,61,25,6,4,244.00,not_out,T20I # 1873
India Vs Zimbabwe,India,5,Rishbh Pnt,3,5,0,0,60.00,out,T20I # 1873
India Vs Zimbabwe,India,6,Hrdik Pndy,18,18,2,0,100.00,out,T20I # 1873
India Vs Zimbabwe,India,7,Axr Ptel,0,0,0,0,-,not_out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,1,Wessly Mdhevere,0,1,0,0,0.00,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,2,Crig Ervine(c),13,15,2,0,86.66,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,3,Regis Chkbv,0,6,0,0,0.00,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,4,Sen Willims,11,18,0,1,61.11,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,5,Sikndr Rz,34,24,3,0,141.66,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,6,Tony Munyong,5,4,1,0,125.00,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,7,Ryn Burl,35,22,5,1,159.09,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,8,Wellington Mskdz,1,7,0,0,14.28,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,9,Richrd Ngrv,1,2,0,0,50.00,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,10,Tendi Chtr,4,4,1,0,100.00,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,11,Blessing Muzrbni,0,2,0,0,0.00,not_out,T20I # 1873
New Zealand Vs Pakistan,New Zealand,1,Finn Allen,4,3,1,0,133.33,out,T20I # 1877
New Zealand Vs Pakistan,New Zealand,2,Devon Conwy,21,20,3,0,105.00,out,T20I # 1877
New Zealand Vs Pakistan,New Zealand,3,Kne Willimson(c),46,42,1,1,109.52,out,T20I # 1877
New Zealand Vs Pakistan,New Zealand,4,Glenn Phillips,6,8,1,0,75.00,out,T20I # 1877
New Zealand Vs Pakistan,New Zealand,5,Dryl Mitchell,53,35,3,1,151.42,not_out,T20I # 1877
New Zealand Vs Pakistan,New Zealand,6,Jmes Neeshm,16,12,1,0,133.33,not_out,T20I # 1877
New Zealand Vs Pakistan,Pakistan,1,Mohmmd Rizwn,57,43,5,0,132.55,out,T20I # 1877
New Zealand Vs Pakistan,Pakistan,2,Bbr Azm(c),53,42,7,0,126.19,out,T20I # 1877
New Zealand Vs Pakistan,Pakistan,3,Mohmmd Hris,30,26,2,1,115.38,out,T20I # 1877
New Zealand Vs Pakistan,Pakistan,4,Shn Msood,3,4,0,0,75.00,not_out,T20I # 1877
New Zealand Vs Pakistan,Pakistan,5,Iftikhr Ahmed,0,0,0,0,-,not_out,T20I # 1877
India Vs England,India,1,KL Rhul,5,5,1,0,100.00,out,T20I # 1878
India Vs England,India,2,Rohit Shrm(c),27,28,4,0,96.42,out,T20I # 1878
India Vs England,India,3,Virt Kohli,50,40,4,1,125.00,out,T20I # 1878
India Vs England,India,4,Surykumr Ydv,14,10,1,1,140.00,out,T20I # 1878
India Vs England,India,5,Hrdik Pndy,63,33,4,5,190.90,out,T20I # 1878
India Vs England,India,6,Rishbh Pnt,6,4,1,0,150.00,out,T20I # 1878
India Vs England,India,7,Rvichndrn Ashwin,0,0,0,0,-,not_out,T20I # 1878
India Vs England,England,1,Jos Buttler(c),80,49,9,3,163.26,not_out,T20I # 1878
India Vs England,England,2,Alex Hles,86,47,4,7,182.97,not_out,T20I # 1878
Pakistan Vs England,Pakistan,1,Mohmmd Rizwn,15,14,0,1,107.14,out,T20I # 1879
Pakistan Vs England,Pakistan,2,Bbr Azm(c),32,28,2,0,114.28,out,T20I # 1879
Pakistan Vs England,Pakistan,3,Mohmmd Hris,8,12,1,0,66.66,out,T20I # 1879
Pakistan Vs England,Pakistan,4,Shn Msood,38,28,2,1,135.71,out,T20I # 1879
Pakistan Vs England,Pakistan,5,Iftikhr Ahmed,0,6,0,0,0.00,out,T20I # 1879
Pakistan Vs England,Pakistan,6,Shdb Khn,20,14,2,0,142.85,out,T20I # 1879
Pakistan Vs England,Pakistan,7,Mohmmd Nwz,5,7,0,0,71.42,out,T20I # 1879
Pakistan Vs England,Pakistan,8,Mohmmd Wsim,4,8,0,0,50.00,out,T20I # 1879
Pakistan Vs England,Pakistan,9,Shheen Shh Afridi,5,3,1,0,166.66,not_out,T20I # 1879
Pakistan Vs England,Pakistan,10,Hris Ruf,1,1,0,0,100.00,not_out,T20I # 1879
Pakistan Vs England,England,1,Jos Buttler(c),26,17,3,1,152.94,out,T20I # 1879
Pakistan Vs England,England,2,Alex Hles,1,2,0,0,50.00,out,T20I # 1879
Pakistan Vs England,England,3,Phil Slt,10,9,2,0,111.11,out,T20I # 1879
Pakistan Vs England,England,4,Ben Stokes,52,49,5,1,106.12,not_out,T20I # 1879
Pakistan Vs England,England,5,Hrry Brook,20,23,1,0,86.95,out,T20I # 1879
Pakistan Vs England,England,6,Moeen Ali,19,13,3,0,146.15,out,T20I # 1879
Pakistan Vs England,England,7,Lim Livingstone,1,1,0,0,100.00,not_out,T20I # 1879
